state_abbr	state	city
AK	Alaska	Egegik
AK	Alaska	Ekwok
AK	Alaska	Emmonak
AK	Alaska	False Pass
AK	Alaska	Marshall
AK	Alaska	Slana
AK	Alaska	Glennallen
AK	Alaska	Goodnews Bay
AK	Alaska	Grayling
AK	Alaska	Saint George Isl
AK	Alaska	Holy Cross
AK	Alaska	Port Graham
AK	Alaska	Hooper Bay
AK	Alaska	Kokhanok
AK	Alaska	Kalskag
AK	Alaska	Kasilof
AK	Alaska	Kenai
AK	Alaska	King Cove
AK	Alaska	Igiugig
AK	Alaska	Kipnuk
AK	Alaska	Akhiok
AK	Alaska	Kotlik
AK	Alaska	Kwethluk
AK	Alaska	Kwigillingok
AK	Alaska	Levelock
AK	Alaska	Lower Kalskag
AK	Alaska	Mc Grath
AK	Alaska	Manokotak
AK	Alaska	Mekoryuk
AK	Alaska	Moose Pass
AK	Alaska	Mountain Village
AK	Alaska	Naknek
AK	Alaska	Napakiak
AK	Alaska	New Stuyahok
AK	Alaska	Nikolski
AK	Alaska	Ninilchik
AK	Alaska	Nondalton
AK	Alaska	Butte
AK	Alaska	Pedro Bay
AK	Alaska	Perryville
AK	Alaska	Pilot Point
AK	Alaska	Pilot Station
AK	Alaska	Platinum
AK	Alaska	Port Alsworth
AK	Alaska	Wasilla
AK	Alaska	Quinhagak
AK	Alaska	Red Devil
AK	Alaska	Russian Mission
AK	Alaska	Saint Marys
AK	Alaska	Saint Michael
AK	Alaska	Saint Paul Islan
AK	Alaska	Sand Point
AK	Alaska	Scammon Bay
AK	Alaska	Seward
AK	Alaska	Shageluk
AK	Alaska	Sleetmute
AK	Alaska	Soldotna
AK	Alaska	South Naknek
AK	Alaska	Stebbins
AK	Alaska	Sterling
AK	Alaska	Talkeetna
AK	Alaska	Tuluksak
AK	Alaska	Tununak
AK	Alaska	Tyonek
AK	Alaska	Trapper Creek
AK	Alaska	Unalakleet
AK	Alaska	Unalaska
AK	Alaska	Valdez
AK	Alaska	Willow
AK	Alaska	Yakutat
AK	Alaska	Nikolai
AK	Alaska	Dutch Harbor
AK	Alaska	Coldfoot
AK	Alaska	Eielson Afb
AK	Alaska	Fort Wainwright
AK	Alaska	Clear
AK	Alaska	North Pole
AK	Alaska	Fairbanks
AK	Alaska	Salcha
AK	Alaska	Allakaket
AK	Alaska	Anaktuvuk Pass
AK	Alaska	Arctic Village
AK	Alaska	Barrow
AK	Alaska	Beaver
AK	Alaska	Bettles Field
AK	Alaska	Buckland
AK	Alaska	Cantwell
AK	Alaska	Central
AK	Alaska	Circle
AK	Alaska	Prudhoe Bay
AK	Alaska	Deering
AK	Alaska	Dot Lake
AK	Alaska	Elim
AK	Alaska	Fort Yukon
AK	Alaska	Galena
AK	Alaska	Gambell
AK	Alaska	Healy
AK	Alaska	Anderson
AK	Alaska	Hughes
AK	Alaska	Huslia
AK	Alaska	Kaktovik
AK	Alaska	Kaltag
AK	Alaska	Kiana
AK	Alaska	Kivalina
AK	Alaska	Kobuk
AK	Alaska	Kotzebue
AK	Alaska	Koyuk
AK	Alaska	Denali National
AK	Alaska	Manley Hot Sprin
AK	Alaska	Lake Minchumina
AK	Alaska	Minto
AK	Alaska	Point Lay
AK	Alaska	Nenana
AK	Alaska	Noatak
AK	Alaska	Golovin
AK	Alaska	Noorvik
AK	Alaska	Nulato
AK	Alaska	Point Hope
AK	Alaska	Rampart
AK	Alaska	Ruby
AK	Alaska	Savoonga
AK	Alaska	Selawik
AK	Alaska	Shaktoolik
AK	Alaska	Shishmaref
AK	Alaska	Shungnak
AK	Alaska	Stevens Village
AK	Alaska	Tanana
AK	Alaska	Teller
AK	Alaska	Border
AK	Alaska	Venetie
AK	Alaska	Wainwright
AK	Alaska	Wales
AK	Alaska	White Mountain
AK	Alaska	Brevig Mission
AK	Alaska	Ambler
AK	Alaska	Chalkyitsik
AK	Alaska	Nuiqsut
AK	Alaska	Juneau
AK	Alaska	Angoon
AK	Alaska	Douglas
AK	Alaska	Gustavus
AK	Alaska	Haines
AK	Alaska	Hoonah
AK	Alaska	Petersburg
AK	Alaska	Sitka
AK	Alaska	Skagway
AK	Alaska	Ketchikan
AK	Alaska	Thorne Bay
AK	Alaska	Craig
AK	Alaska	Hydaburg
AK	Alaska	Hyder
AK	Alaska	Klawock
AK	Alaska	Metlakatla
AK	Alaska	Point Baker
AK	Alaska	Wrangell
AZ	Arizona	Phoenix
AZ	Arizona	New River Stage
AZ	Arizona	Mesa
AZ	Arizona	Gold Canyon
AZ	Arizona	Apache Junction
AZ	Arizona	Eleven Mile Corn
AZ	Arizona	Chandler
AZ	Arizona	Coolidge
AZ	Arizona	Eloy
AZ	Arizona	Florence
AZ	Arizona	Gilbert
AZ	Arizona	Higley
AZ	Arizona	Kearny
AZ	Arizona	Mobile
AZ	Arizona	Williams Afb
AZ	Arizona	Arizona Boys Ran
AZ	Arizona	Sacaton
AZ	Arizona	Sun Lakes
AZ	Arizona	Scottsdale
AZ	Arizona	Paradise Valley
AZ	Arizona	Fort Mcdowell
AZ	Arizona	Fountain Hills
AZ	Arizona	Stanfield
AZ	Arizona	Superior
AZ	Arizona	Tempe
AZ	Arizona	Winkelman
AZ	Arizona	Glendale
AZ	Arizona	Luke Afb
AZ	Arizona	Why
AZ	Arizona	Arlington
AZ	Arizona	Avondale
AZ	Arizona	Rock Springs
AZ	Arizona	Buckeye
AZ	Arizona	Cibola
AZ	Arizona	Cave Creek
AZ	Arizona	Congress
AZ	Arizona	Dateland
AZ	Arizona	El Mirage
AZ	Arizona	Gila Bend
AZ	Arizona	Goodyear
AZ	Arizona	Laveen
AZ	Arizona	Litchfield Park
AZ	Arizona	Morristown
AZ	Arizona	Palo Verde
AZ	Arizona	Empire Landing
AZ	Arizona	Peoria
AZ	Arizona	Roll
AZ	Arizona	Salome
AZ	Arizona	Somerton
AZ	Arizona	Sun City
AZ	Arizona	Tolleson
AZ	Arizona	Tonopah
AZ	Arizona	Waddell
AZ	Arizona	Wellton
AZ	Arizona	Wittmann
AZ	Arizona	Yarnell
AZ	Arizona	Youngtown
AZ	Arizona	Yuma
AZ	Arizona	Yuma Proving Gro
AZ	Arizona	Surprise
AZ	Arizona	Sun City West
AZ	Arizona	Wickenburg
AZ	Arizona	Globe
AZ	Arizona	Bylas
AZ	Arizona	Clifton
AZ	Arizona	Franklin
AZ	Arizona	Eden
AZ	Arizona	Miami
AZ	Arizona	Morenci
AZ	Arizona	Payson
AZ	Arizona	Peridot
AZ	Arizona	Pima
AZ	Arizona	Strawberry
AZ	Arizona	Roosevelt
AZ	Arizona	Safford
AZ	Arizona	San Carlos
AZ	Arizona	Thatcher
AZ	Arizona	Benson
AZ	Arizona	Bisbee
AZ	Arizona	Cochise
AZ	Arizona	Douglas
AZ	Arizona	Elfrida
AZ	Arizona	Elgin
AZ	Arizona	Fort Huachuca
AZ	Arizona	Green Valley
AZ	Arizona	Hereford
AZ	Arizona	Huachuca City
AZ	Arizona	Mc Neal
AZ	Arizona	Mammoth
AZ	Arizona	Nogales
AZ	Arizona	Oracle
AZ	Arizona	Patagonia
AZ	Arizona	Pearce
AZ	Arizona	Sahuarita
AZ	Arizona	Saint David
AZ	Arizona	San Manuel
AZ	Arizona	Portal
AZ	Arizona	Pisinemo
AZ	Arizona	Sierra Vista
AZ	Arizona	Sonoita
AZ	Arizona	Tombstone
AZ	Arizona	Amado
AZ	Arizona	Vail
AZ	Arizona	Willcox
AZ	Arizona	Marana
AZ	Arizona	Tucson
AZ	Arizona	Casas Adobes
AZ	Arizona	Oro Valley
AZ	Arizona	Show Low
AZ	Arizona	Alpine
AZ	Arizona	Blue
AZ	Arizona	Concho
AZ	Arizona	Eagar
AZ	Arizona	Heber
AZ	Arizona	Lakeside
AZ	Arizona	Pinetop
AZ	Arizona	Saint Johns
AZ	Arizona	Snowflake
AZ	Arizona	Springerville
AZ	Arizona	Flagstaff
AZ	Arizona	Colorado City
AZ	Arizona	Fredonia
AZ	Arizona	Holbrook
AZ	Arizona	Hotevilla
AZ	Arizona	Kayenta
AZ	Arizona	Keams Canyon
AZ	Arizona	Leupp
AZ	Arizona	Marble Canyon
AZ	Arizona	Mormon Lake
AZ	Arizona	Kykotsmovi Villa
AZ	Arizona	Greenehaven
AZ	Arizona	Polacca
AZ	Arizona	Second Mesa
AZ	Arizona	Tonalea
AZ	Arizona	Tuba City
AZ	Arizona	Williams
AZ	Arizona	Winslow
AZ	Arizona	Kaibito
AZ	Arizona	Shonto
AZ	Arizona	Prescott
AZ	Arizona	Groom Creek
AZ	Arizona	Prescott Valley
AZ	Arizona	Ash Fork
AZ	Arizona	Bagdad
AZ	Arizona	Camp Verde
AZ	Arizona	Chino Valley
AZ	Arizona	Clarkdale
AZ	Arizona	Cornville
AZ	Arizona	Cottonwood
AZ	Arizona	Dewey
AZ	Arizona	Kirkland
AZ	Arizona	Mayer
AZ	Arizona	Paulden
AZ	Arizona	Rimrock
AZ	Arizona	Sedona
AZ	Arizona	Seligman
AZ	Arizona	Crown King
AZ	Arizona	Kingman
AZ	Arizona	Desert Hills
AZ	Arizona	Hualapai
AZ	Arizona	Bullhead City
AZ	Arizona	Littlefield
AZ	Arizona	Peach Springs
AZ	Arizona	Supai
AZ	Arizona	Topock
AZ	Arizona	Mohave Valley
AZ	Arizona	Dolan Springs
AZ	Arizona	Meadview
AZ	Arizona	Chambers
AZ	Arizona	Chinle
AZ	Arizona	Ganado
AZ	Arizona	Lukachukai
AZ	Arizona	Navajo
AZ	Arizona	Pinon
AZ	Arizona	Teec Nos Pos
AZ	Arizona	Dennehotso
AZ	Arizona	Many Farms
AZ	Arizona	Tsaile
AR	Arkansas	North Cedar
AR	Arkansas	Dollarway
AR	Arkansas	Pine Bluff
AR	Arkansas	Arkansas City
AR	Arkansas	Banks
AR	Arkansas	North
AR	Arkansas	Dermott
AR	Arkansas	Dumas
AR	Arkansas	Eudora
AR	Arkansas	Fountain Hill
AR	Arkansas	Gould
AR	Arkansas	Tamo
AR	Arkansas	Hamburg
AR	Arkansas	Ingalls
AR	Arkansas	Jersey
AR	Arkansas	Kingsland
AR	Arkansas	Lake Village
AR	Arkansas	Mc Gehee
AR	Arkansas	Monticello
AR	Arkansas	Montrose
AR	Arkansas	New Edinburg
AR	Arkansas	Parkdale
AR	Arkansas	Pickens
AR	Arkansas	Portland
AR	Arkansas	Rison
AR	Arkansas	Rohwer
AR	Arkansas	Star City
AR	Arkansas	Reed
AR	Arkansas	Warren
AR	Arkansas	Watson
AR	Arkansas	Wilmar
AR	Arkansas	Wilmot
AR	Arkansas	Winchester
AR	Arkansas	Yorktown
AR	Arkansas	East Camden
AR	Arkansas	Bearden
AR	Arkansas	Bluff City
AR	Arkansas	Carthage
AR	Arkansas	Reader
AR	Arkansas	El Dorado
AR	Arkansas	Emerson
AR	Arkansas	Fordyce
AR	Arkansas	Gurdon
AR	Arkansas	Hampton
AR	Arkansas	Harrell
AR	Arkansas	Huttig
AR	Arkansas	Ivan
AR	Arkansas	Junction City
AR	Arkansas	Louann
AR	Arkansas	Mc Neil
AR	Arkansas	Magnolia
AR	Arkansas	Mount Holly
AR	Arkansas	Norphlet
AR	Arkansas	Smackover
AR	Arkansas	Manning
AR	Arkansas	Stephens
AR	Arkansas	Strong
AR	Arkansas	Thornton
AR	Arkansas	Tinsman
AR	Arkansas	Village
AR	Arkansas	Waldo
AR	Arkansas	Perrytown
AR	Arkansas	Ashdown
AR	Arkansas	Blevins
AR	Arkansas	Bradley
AR	Arkansas	Buckner
AR	Arkansas	Cale
AR	Arkansas	Columbus
AR	Arkansas	De Queen
AR	Arkansas	Dierks
AR	Arkansas	Doddridge
AR	Arkansas	Emmet
AR	Arkansas	Foreman
AR	Arkansas	Fouke
AR	Arkansas	Fulton
AR	Arkansas	Garland City
AR	Arkansas	Gillham
AR	Arkansas	Horatio
AR	Arkansas	Lewisville
AR	Arkansas	Lockesburg
AR	Arkansas	Mc Caskill
AR	Arkansas	Mineral Springs
AR	Arkansas	Nashville
AR	Arkansas	Ogden
AR	Arkansas	Ozan
AR	Arkansas	Prescott
AR	Arkansas	Rosston
AR	Arkansas	Saratoga
AR	Arkansas	Stamps
AR	Arkansas	Taylor
AR	Arkansas	Washington
AR	Arkansas	Willisville
AR	Arkansas	Wilton
AR	Arkansas	Winthrop
AR	Arkansas	Lake Catherine
AR	Arkansas	Hot Springs Vill
AR	Arkansas	Lake Hamilton
AR	Arkansas	Amity
AR	Arkansas	Antoine
AR	Arkansas	Arkadelphia
AR	Arkansas	Bismarck
AR	Arkansas	Blakely
AR	Arkansas	Bonnerdale
AR	Arkansas	Caddo Gap
AR	Arkansas	Cove
AR	Arkansas	Delight
AR	Arkansas	Donaldson
AR	Arkansas	Friendship
AR	Arkansas	Glenwood
AR	Arkansas	Grannis
AR	Arkansas	Hatfield
AR	Arkansas	Jessieville
AR	Arkansas	Kirby
AR	Arkansas	Langley
AR	Arkansas	Mena
AR	Arkansas	Buckville
AR	Arkansas	Mount Ida
AR	Arkansas	Murfreesboro
AR	Arkansas	Newhope
AR	Arkansas	Norman
AR	Arkansas	Oden
