,Looks Good to contact,Event Name,capacity,start,end,category,eventbrite_url,Unnamed: 7,website,tel,email generic,contact,email contact,probable_phones,possible_phones,unfiltered_results,searched
10,Y,Off the Grid: Upper Haight,"100,000",5/5/2016,5/5/2016,Food & Drink; Food,http://www.eventbrite.com/e/off-the-grid-upper-haight-tickets-14207249265?aff=ebapi,,,,,,,415)339-5888,"415-339-5888, 415)339-5888","415)339-5888, 287-14608408, 114-06827244, 415)339-5888, 415)339-5888, 415)339-5888, 217-479-216-, 479-216-277-, 216-277-274-, 277-274-279-, 274-279-213-, 279-213-209-, 217-479-216-, 479-216-277-, 216-277-274-, 277-274-279-, 274-279-213-, 415-339-5888",True
11,Y,Copy of Greater L.A. Vintage Postcard and Paper Collectibles Show,"100,000",5/21/2016,5/21/2016,Hobbies & Special Interest; Other,http://www.eventbrite.com/e/copy-of-greater-la-vintage-postcard-and-paper-collectibles-show-tickets-24233512087?aff=ebapi,,,,,,,"614)760-8557, 618)531-4189, 717)413-6882, 207)657-3800, 813)249-8233, 800)707-0326, 415)531-0553, 303)667-6212, 913-217-1004, 626)665-9435, 814)933-6128, 212-620-9697, 419-706-3543, 330)832-5992, 417)451-3463, 410)939-0999, 319)400-6498, 256)527-4601, 316)841-3273, 248)546-0038, 708-354-4200, 918-258-7085, 708)333-7947, 530-417-4117, 773-775-2100, 845-856-5063, 517)230-0734, 814)933-3803","415-814-2330, 323-883-1702, 626)665-9435, 415-586-9386","813)249-8233, 517)230-0734, 319)400-6498, 708-354-4200, 417)451-3463, 415)531-0553, 207)657-3800, 517)230-0734, 303)667-6212, 845-856-5063, 773-775-2100, 626)665-9435, 330)832-5992, 918-258-7085, 417)451-3463, 256)527-4601, 330)832-5992, 530-417-4117, 913-217-1004, 417)451-3463, 517)230-0734, 419-706-3543, 626)665-9435, 626)665-9435, 303)667-6212, 517)230-0734, 410)939-0999, 330)832-5992, 330)832-5992, 814)933-3803, 814)933-6128, 415)531-0553, 517)230-0734, 717)413-6882, 330)832-5992, 800)707-0326, 417)451-3463, 618)531-4189, 330)832-5992, 626)665-9435, 419-706-3543, 708)333-7947, 517)230-0734, 614)760-8557, 316)841-3273, 248)546-0038, 813)249-8233, 517)230-0734, 708-354-4200, 417)451-3463, 212-620-9697, 517)230-0734, 626)665-9435, 410)939-0999, 814)933-3803, 814)933-6128, 814)933-3803, 814)933-6128, 619)462-6268, 619)462-6268, 415-531-0553, 415-586-9386, 626)665-9435, 323-883-1702, 415-814-2330",True
12,Y,2016 Pomona DeafNation Expo,"99,999",5/7/2016,5/7/2016,Community & Culture,http://www.eventbrite.com/e/2016-pomona-deafnation-expo-registration-20770480065?aff=ebapi,,http://2016dnexpopomona.eventbrite.com,,,,,,"909)865-3602, 909-623-3111","909-623-3111, 909)865-3602",True
13,Y,Pasadena Strawberry Festival,"88,000",5/20/2016,5/20/2016,Community & Culture,http://www.eventbrite.com/e/pasadena-strawberry-festival-tickets-21729614863?aff=ebapi,,,,,,,281)991-9500,"281)991-9500, 281-991-9500","281)991-9500, 281)991-9500, 281)991-9500, 281)991-9500, 281-991-9500",True
14,Y,Cannaisseur Tour 16',"65,200",7/8/2016,7/8/2016,Health & Wellness; Medical,http://www.eventbrite.com/e/cannaisseur-tour-16-tickets-19770811028?aff=ebapi,,,,,,,,"843-722-3405, 843-723-1623","692-05142015, 692-05142015, 692-05142015, 692-05142015, 692-05142015, 692-05142015, 692-05142015, 692-05142015, 692-05142015, 692-05142015, 843-723-1623, 843-723-1623, 843-722-3405, 217-479-216-, 479-216-277-, 216-277-274-, 277-274-279-, 274-279-213-, 279-213-234-, 213-234-209-, 234-209-260-, 217-479-216-, 479-216-277-, 216-277-274-, 277-274-279-, 274-279-213-, 279-213-234-, 213-234-209-",True
15,,2016 Gator By The Bay Festival San Diego,"61,210",5/5/2016,5/5/2016,Music; Blues & Jazz,http://www.eventbrite.com/e/2016-gator-by-the-bay-festival-san-diego-tickets-20041095456?aff=ebapi,,,,,,,"619-234-8605, 619-234-8612","619-234-8605, 619-234-8612","619-234-8612, 619-234-8612, 619-234-8612, 619-234-8605, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-00038795, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-00038795, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-00038795, 001-09237379, 001-09237379, 001-09237379, 001-08996485, 001-08996485, 001-08996485, 001-08996485, 001-08996485, 001-08996485, 001-09089490, 001-09089490, 001-09089490, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09196299, 001-09229730, 001-09229730, 001-09229730, 001-09228971, 001-09228971, 001-09228971, 001-08914200, 001-08914200, 001-08914200, 001-09226413, 001-09226413, 001-09226413, 001-09099401, 001-09099401, 001-09099401, 001-09034677, 001-09034677, 001-09034677, 001-09091228, 001-09091228, 001-09091228, 001-09194646, 001-09194646, 001-09194646, 001-09062106, 001-09062106, 001-09062106, 001-09206832, 001-09206832, 001-09206832, 001-09222810, 001-09222810, 001-09222810, 001-09136443, 001-09136443, 001-09136443, 001-09225730, 001-09225730, 001-09225730, 001-09244605, 001-09244605, 001-09244605, 001-09244594, 001-09244594, 001-09244594, 001-00099335, 001-00099335, 001-00099335, 001-00102875, 001-00102875, 001-00102875, 001-00102602, 001-00102602, 001-00102602, 001-00074832, 001-00074832, 001-00074832, 001-00000225, 001-00000225, 001-00000225, 001-00000145, 001-00000145, 001-00000145, 001-00099014, 001-00099014, 001-00099014, 001-00000619, 001-00000619, 001-00000619, 001-00099015, 001-00099015, 001-00099015, 001-00094227, 001-00094227, 001-00094227, 001-00021785, 001-00021785, 001-00021785, 001-00098928, 001-00098928, 001-00098928, 001-00102020, 001-00102020, 001-00102020, 001-00082611, 001-00082611, 001-00082611, 001-00102597, 001-00102597, 001-00102597, 001-00079246, 001-00079246, 001-00079246, 001-00000723, 001-00000723, 001-00000723, 001-00095581, 001-00095581, 001-00095581, 001-00000578, 001-00000578, 001-00000578, 001-00000338, 001-00000338, 001-00000338, 001-00000581, 001-00000581, 001-00000581, 001-00042763, 001-00042763, 001-00042763, 001-00000449, 001-00000449, 001-00000449, 001-00000318, 001-00000318, 001-00000318, 001-00000126, 001-00000126, 001-00000126, 001-00070018, 001-00070018, 001-00070018, 001-00000509, 001-00000509, 001-00000509, 001-00000141, 001-00000141, 001-00000141, 001-00097149, 001-00097149, 001-00097149, 001-00099393, 001-00099393, 001-00099393, 001-00000639, 001-00000639, 001-00000639, 001-00102610, 001-00102610, 001-00102610, 001-00049819, 001-00049819, 001-00049819, 001-00000104, 001-00000104, 001-00000104, 001-00097297, 001-00097297, 001-00097297, 001-00000318, 001-00000318, 001-00000318, 001-00101992, 001-00101992, 001-00101992, 001-00000537, 001-00000537, 001-00000537, 001-00029546, 001-00029546, 001-00029546, 001-00097385, 001-00097385, 001-00097385, 001-09196299, 001-09196299, 619-234-8612, 619-234-8605",True
16,,Cupcake Camp LA: #Cupcake Tasting for Charity,"54,500",6/4/2016,6/4/2016,Food & Drink; Food,http://www.eventbrite.com/e/cupcake-camp-la-cupcake-tasting-for-charity-tickets-18723703100?aff=ebapi,,http://cupcakecampla16.eventbrite.com,,,,,866-538-2253,866-538-2253,"866-538-2253, 866-538-2253, 866-538-2253, 800)350-8850, 800)350-8850, 626)792-2727, 626)792-2727, 866-538-2253, 866-538-2253, 323)851-2300, 866-538-2253, 888-215-3611, 888-215-3611, 888)203-5531, 888-215-3611, 888-215-3611, 888-215-3611, 888)203-5531, 888-215-3611, 209-4330-866, 330-8667-249, 209-4330-866, 330-8667-249, 209-4330-866, 330-8667-249, 209-4330-866, 330-8667-249, 209-4330-866, 330-8667-249, 866-538-2253, 323)464-0808",True
17,,"Western States Horse Expo  Sacramento  June 10-12, 2016","54,000",6/10/2016,6/10/2016,Hobbies & Special Interest; Other,http://www.eventbrite.com/e/western-states-horse-expo-sacramento-june-10-12-2016-tickets-19387475461?aff=ebapi,,,,,,,"800-352-2411, 888-555-5555, 800)352-2411",,"800-352-2411, 800-352-2411, 800-352-2411, 800-352-2411, 800-352-2411, 800-352-2411, 800-352-2411, 800-352-2411, 800)352-2411, 888-555-5555",True
18,,Los Angeles DUB Show 2016,"53,550",7/10/2016,7/10/2016,"Auto, Boat & Air; Auto",http://www.eventbrite.com/e/los-angeles-dub-show-2016-tickets-20869413979?aff=ebapi,,,,,,,,,,False
19,,Spring Sprint Triathlon and Duathlon 2016,"51,400",5/1/2016,5/1/2016,Sports & Fitness; Other,http://www.eventbrite.com/e/spring-sprint-triathlon-and-duathlon-2016-registration-18127901040?aff=ebapi,,,,,,,,"619-656-5222, 858-384-2867, 866-561-0647",,False
20,,Barton Road Youth Club,"50,000",5/3/2016,5/3/2016,Community & Culture,http://www.eventbrite.co.uk/e/barton-road-youth-club-tickets-19578674342?aff=ebapi,,,,,,,,,,False
21,,Politicon 2016 - The Unconventional Political Convention,"46,500",6/25/2016,6/25/2016,"Film, Media & Entertainment; Other",http://www.eventbrite.com/e/politicon-2016-the-unconventional-political-convention-tickets-21687825871?aff=ebapi,,http://politicon.eventbrite.com,,,,,,,,False
22,,"Los Angeles Ultimate Women's Expo May 21-22, 2016","46,000",5/21/2016,5/21/2016,Fashion & Beauty; Beauty,http://www.eventbrite.com/e/los-angeles-ultimate-womens-expo-may-21-22-2016-tickets-19372461554?aff=ebapi,,http://lawomensexpotickets2015.eventbrite.com,,,,,,213)741-1151,,False
23,,How Weird 2016,"35,000",5/1/2016,5/1/2016,Community & Culture,http://www.eventbrite.com/e/how-weird-2016-tickets-22471620221?aff=ebapi,,,,,,,,999-999-9999,,False
24,,"TheFitExpo, Northern California 2016","33,000",5/21/2016,5/21/2016,Sports & Fitness,http://www.eventbrite.com/e/thefitexpo-northern-california-2016-tickets-19020083582?aff=ebapi,,,,,,,888)FIT-EXPO,888)FIT-EXPO,,False
25,,"POTLUCK presents: The Fantastic Cannabastic - Educational Cannabis Networking/Concert/Green Games - Sunny Rude, MC FLOW, Comedy","30,300",6/5/2016,6/5/2016,Health & Wellness; Other,http://www.eventbrite.com/e/potluck-presents-the-fantastic-cannabastic-educational-cannabis-networkingconcertgreen-games-sunny-tickets-22431281567?aff=ebapi,,,,,,,,,,False
26,,Donate today to give skihlz shoes to teen athletes!,"30,010",5/2/2016,5/2/2016,Charity & Causes; International Aid,http://www.eventbrite.com/e/donate-today-to-give-skihlz-shoes-to-teen-athletes-tickets-24272906918?aff=ebapi,,,,,,,415-373-6767,"503-671-6818, 703-858-0784",,False
27,,Samy?s Camera Presents: PHOTOCON LA,"30,000",5/21/2016,5/21/2016,Hobbies & Special Interest; Photography,http://www.eventbrite.com/e/samys-camera-presents-photocon-la-tickets-21231275316?aff=ebapi,,http://samysphotoschool.com/organizer/samys-photo-school/,edu@samys.com,Phone:(323) 456-4564,,,323)456-4564,,,False
28,,"RIHANNA FAN CLUB JOIN TODAY - (""WIN A VIP CONCERT PACKAGES')","30,000",5/7/2016,5/7/2016,Music; Hip Hop / Rap,http://www.eventbrite.com/e/rihanna-fan-club-join-today-win-a-vip-concert-packages-tickets-21002111882?aff=ebapi,,,,,,,,,,False
29,,The 10th Annual Northern California Pirate Festival,"30,000",6/18/2016,6/18/2016,Performing & Visual Arts,http://www.eventbrite.com/e/the-10th-annual-northern-california-pirate-festival-tickets-22582756633?aff=ebapi,,,,,,,,,,False
30,,2016 TPC Stonebrae Classic,"24,200",7/28/2016,7/28/2016,Sports & Fitness; Golf,http://www.eventbrite.com/e/2016-tpc-stonebrae-classic-tickets-24496506711?aff=ebapi,,,,,,,,"469-569-4205, 925-212-1057",,False
31,,FMF GLEN HELEN NATIONAL,"22,675",5/25/2016,5/25/2016,Sports & Fitness; Motorsports,http://www.eventbrite.com/e/fmf-glen-helen-national-tickets-19648229383?aff=ebapi,,,,,,,909)889-0133,909)880-3090,,False
32,,Taco Festival of Innovation 2016,"22,600",5/28/2016,5/28/2016,Food & Drink; Beer,http://www.eventbrite.com/e/taco-festival-of-innovation-2016-tickets-16009681388?aff=ebapi,,http://taco5.eventbrite.com,,,,,408)800-6825,,,False
33,,"5k Run/Walk & Concert - Long Beach, CA","22,400",5/7/2016,5/7/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/5k-runwalk-concert-long-beach-ca-tickets-21793961325?aff=ebapi,,,,,,,866-561-0647,,,False
34,,"5k Run/Walk & Concert ? Riverside, CA","22,400",5/1/2016,5/1/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/5k-runwalk-concert-riverside-ca-tickets-21790250225?aff=ebapi,,,,,,,866-561-0647,,,False
35,,"5k Run/Walk & Concert - Irvine, CA","22,400",5/28/2016,5/28/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/5k-runwalk-concert-irvine-ca-tickets-21793596233?aff=ebapi,,,,,,,866-561-0647,,,False
36,,"5k Run/Walk & Concert - Glendale, CA","22,400",7/23/2016,7/23/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/5k-runwalk-concert-glendale-ca-tickets-21793141874?aff=ebapi,,,,,,,866-561-0647,,,False
37,,"5k Run/Walk & Concert - San Diego, CA","22,400",5/22/2016,5/22/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/5k-runwalk-concert-san-diego-ca-tickets-21794433738?aff=ebapi,,,,,,,866-561-0647,,,False
38,,"5k Run/Walk & Concert - Escondido, CA","22,400",6/11/2016,6/11/2016,Charity & Causes; Healthcare,http://www.eventbrite.com/e/5k-runwalk-concert-escondido-ca-tickets-21792508981?aff=ebapi,,,,,,,866-561-0647,,,False
39,,The Yoga Expo 2016 Santa Clara,"20,500",7/24/2016,7/24/2016,Health & Wellness; Yoga,http://www.eventbrite.com/e/the-yoga-expo-2016-santa-clara-tickets-19933795519?aff=ebapi,,,,,,,,,001-08958277,True
40,,CatConLA 2016 Tickets,"20,000",6/25/2016,6/25/2016,Charity & Causes; Animal Welfare,http://www.eventbrite.com/e/catconla-2016-tickets-tickets-19917852834?aff=ebapi,,,,,,,,,016-30020360,True
41,,San Diego Festival of the Arts,"20,000",6/11/2016,6/11/2016,Performing & Visual Arts; Fine Art,http://www.eventbrite.com/e/san-diego-festival-of-the-arts-tickets-20001306446?aff=ebapi,,,,,,,,,"026-85784702, 074-26283718, 132-95267009, 256-53105598, 261-70774295, 446-09570832",True
42,,2016 SFETSY SPRING INDIE EMPORIUM,"20,000",5/22/2016,5/22/2016,Other,http://www.eventbrite.com/e/2016-sfetsy-spring-indie-emporium-tickets-24274903891?aff=ebapi,,,,,,,,"301)686-3115, 301)686-3100","014-15FINISH, 301)686-3100, 301)686-3115",True
43,,Teen Hackahon (teenhackathon.com) After-School Program,"20,000",5/2/2016,5/2/2016,Charity & Causes; Education,http://www.eventbrite.com/e/teen-hackahon-teenhackathoncom-after-school-program-tickets-20156864725?aff=ebapi,,,,,,,415-373-6767,,"415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767, 415-373-6767",True
44,,Free Sacramento Career Fair,"20,000",6/30/2016,6/30/2016,Business & Professional; Career,http://www.eventbrite.com/e/free-sacramento-career-fair-tickets-14548295343?aff=ebapi,,,,,,,,"949)599-1870, 949)417-9444","949)599-1870, 949)417-9444, 949)599-1870, 949)599-1870, 949)599-1870, 949)417-9444, 949)599-1870",True
